I_Humidity,M_Humidity,I_Visibility,M_Visibility
79,76,7,8
85,87,9,7
95,87,5,7
82,77,10,10
72,73,10,10
82,80,8,8
92,87,6,7
60,77,7,7
51,47,10,10
54,43,10,10
47,50,10,10
58,48,10,10
86,82,7,6
75,79,6,5
46,48,10,10
43,40,10,10
62,58,10,10
58,58,10,9
61,59,10,10
59,58,10,10
70,59,10,10
67,67,10,10
64,66,10,9
83,80,9,8
65,75,6,6
58,58,10,10
74,67,9,10
70,63,10,10
69,64,9,10
84,86,5,7
64,68,10,10
67,63,10,9
76,70,10,10
87,83,9,9
62,72,10,7
87,86,6,7
67,70,8,10
57,61,10,10
64,57,10,10
42,43,10,10
42,52,10,10
70,79,10,7
59,73,9,6
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA